country,Id,YEAR,cequ,dtax
AUT,143726,1984,,
AUT,143726,1985,,
AUT,143726,1986,,
AUT,143726,1987,,
AUT,143726,1988,,
AUT,143726,1989,,
AUT,143726,1990,,
AUT,143726,1991,,
AUT,143726,1992,,
AUT,143726,1993,,
AUT,143726,1994,96946,
AUT,143726,1995,92658,11410
AUT,143726,1996,123253,10777
AUT,143726,1997,125070,9324
AUT,143726,1998,150869,8023
AUT,143726,1999,156973,6293
AUT,143726,2000,166100,1300
AUT,143726,2001,175862,-847
AUT,143726,2002,180153,1366
AUT,143726,2003,188666,-1139
AUT,143726,2004,224738,-6840
AUT,143726,2005,265749,-11586
AUT,143726,2006,299697,-9369
AUT,143726,2007,342630,-9114
AUT,143726,2008,381090,4738
AUT,143726,2009,394526,-4920
AUT,143726,2010,,
AUT,143726,2011,,
AUT,143726,2012,,
AUT,143726,2013,,
AUT,143726,2014,,
AUT,143726,2015,,
AUT,143726,2016,,
AUT,143726,2017,,
AUT,143726,2018,,
AUT,143727,1980,,
AUT,143727,1981,,
AUT,143727,1982,,
AUT,143727,1983,,
AUT,143727,1984,,
AUT,143727,1985,,
AUT,143727,1986,,
AUT,143727,1987,,
AUT,143727,1988,,
AUT,143727,1989,,
AUT,143727,1990,,
AUT,143727,1991,,
AUT,143727,1992,,
AUT,143727,1993,,
AUT,143727,1994,100652,
AUT,143727,1995,97454,9884
AUT,143727,1996,106102,8793
AUT,143727,1997,109736,2137
AUT,143727,1998,124489,2820
AUT,143727,1999,146654,3634
AUT,143727,2000,169300,0
AUT,143727,2001,185100,0
AUT,143727,2002,205775,13985
AUT,143727,2003,196897,7004
AUT,143727,2004,,
AUT,143727,2005,,
AUT,143727,2006,,
AUT,143727,2007,,
AUT,143727,2008,,
AUT,143727,2009,,
AUT,143727,2010,,
AUT,143727,2011,,
AUT,143727,2012,,
AUT,143727,2013,,
AUT,143727,2014,,
AUT,143727,2015,,
AUT,143727,2016,,
AUT,143727,2017,,
AUT,143727,2018,,
AUT,255055,1980,,
AUT,255055,1981,,
AUT,255055,1982,,
AUT,255055,1983,,
AUT,255055,1984,,
AUT,255055,1985,,
AUT,255055,1986,,
AUT,255055,1987,,
AUT,255055,1988,,
AUT,255055,1989,,
AUT,255055,1990,,
AUT,255055,1991,,
AUT,255055,1992,,
AUT,255055,1993,,
AUT,255055,1994,,
AUT,255055,1995,,
AUT,255055,1996,,
AUT,255055,1997,,
AUT,255055,1998,376463,23476
AUT,255055,1999,358467,9433
AUT,255055,2000,160658,14880
AUT,255055,2001,230330,18491
AUT,255055,2002,222937,28107
AUT,255055,2003,232484,31670
AUT,255055,2004,269912,36839
AUT,255055,2005,320417,23191
AUT,255055,2006,402828,21124
AUT,255055,2007,467409,42622
AUT,255055,2008,542505,13746
AUT,255055,2009,629350,784
AUT,255055,2010,756617,-11908
AUT,255055,2011,896669,-22025
AUT,255055,2012,1007493,-27667
AUT,255055,2013,899737,-41278
AUT,255055,2014,998077,-74734
AUT,255055,2015,1198033,-24116
AUT,255055,2016,1327503,-83228
AUT,255055,2017,1300810,-64755
AUT,255055,2018,,
AUT,258607,1980,,
AUT,258607,1981,,
AUT,258607,1982,,
AUT,258607,1983,,
AUT,258607,1984,,
AUT,258607,1985,,
AUT,258607,1986,,
AUT,258607,1987,,
AUT,258607,1988,,
AUT,258607,1989,,
AUT,258607,1990,,
AUT,258607,1991,,
AUT,258607,1992,,
AUT,258607,1993,,
AUT,258607,1994,,
AUT,258607,1995,,
AUT,258607,1996,,
AUT,258607,1997,,
AUT,258607,1998,,
AUT,258607,1999,,
AUT,258607,2000,5916,
AUT,258607,2001,4897,
AUT,258607,2002,4571,-845
AUT,258607,2003,3781,-905
AUT,258607,2004,2306,-91
AUT,258607,2005,1895,-76
AUT,258607,2006,1785,-91
AUT,258607,2007,1941,-104
AUT,258607,2008,2107,-104
AUT,258607,2009,1912,-104
AUT,258607,2010,1600,-104
AUT,258607,2011,950,-104
AUT,258607,2012,,
AUT,258607,2013,,
AUT,258607,2014,,
AUT,258607,2015,,
AUT,258607,2016,,
AUT,258607,2017,,
AUT,258607,2018,,
AUT,259018,1980,,
AUT,259018,1981,,
AUT,259018,1982,,
AUT,259018,1983,,
AUT,259018,1984,,
AUT,259018,1985,,
AUT,259018,1986,,
AUT,259018,1987,,
AUT,259018,1988,,
AUT,259018,1989,,
AUT,259018,1990,,
AUT,259018,1991,,
AUT,259018,1992,,
AUT,259018,1993,,
AUT,259018,1994,,
AUT,259018,1995,,
AUT,259018,1996,,
AUT,259018,1997,70,
AUT,259018,1998,101,
AUT,259018,1999,284,
AUT,259018,2000,837,
AUT,259018,2001,6336,
AUT,259018,2002,4125,
AUT,259018,2003,-6368,
AUT,259018,2004,-6581,
AUT,259018,2005,,
AUT,259018,2006,,
AUT,259018,2007,,
AUT,259018,2008,,
AUT,259018,2009,,
AUT,259018,2010,,
AUT,259018,2011,,
AUT,259018,2012,,
AUT,259018,2013,,
AUT,259018,2014,,
AUT,259018,2015,,
AUT,259018,2016,,
AUT,259018,2017,,
AUT,259018,2018,,
AUT,259154,1980,,
AUT,259154,1981,,
AUT,259154,1982,,
AUT,259154,1983,,
AUT,259154,1984,,
AUT,259154,1985,,
AUT,259154,1986,,
AUT,259154,1987,,
AUT,259154,1988,,
AUT,259154,1989,,
AUT,259154,1990,,
AUT,259154,1991,,
AUT,259154,1992,,
AUT,259154,1993,,
AUT,259154,1994,,
AUT,259154,1995,,
AUT,259154,1996,,
AUT,259154,1997,,
AUT,259154,1998,,
AUT,259154,1999,-585,
AUT,259154,2000,-27,
AUT,259154,2001,5526,-37
AUT,259154,2002,-12028,0
AUT,259154,2003,,
AUT,259154,2004,,
AUT,259154,2005,,
AUT,259154,2006,,
AUT,259154,2007,,
AUT,259154,2008,,
AUT,259154,2009,,
AUT,259154,2010,,
AUT,259154,2011,,
AUT,259154,2012,,
AUT,259154,2013,,
AUT,259154,2014,,
AUT,259154,2015,,
AUT,259154,2016,,
AUT,259154,2017,,
AUT,259154,2018,,
AUT,259425,1980,,
AUT,259425,1981,,
AUT,259425,1982,,
AUT,259425,1983,,
AUT,259425,1984,,
AUT,259425,1985,,
AUT,259425,1986,,
AUT,259425,1987,,
AUT,259425,1988,,
AUT,259425,1989,,
AUT,259425,1990,,
AUT,259425,1991,,
AUT,259425,1992,,
AUT,259425,1993,,
AUT,259425,1994,,
AUT,259425,1995,,
AUT,259425,1996,,
AUT,259425,1997,,
AUT,259425,1998,2398,16
AUT,259425,1999,2622,32
AUT,259425,2000,2215,-408
AUT,259425,2001,11858,-2216
AUT,259425,2002,12030,-2032
AUT,259425,2003,6665,-2046
AUT,259425,2004,2711,-979
AUT,259425,2005,850,-392
AUT,259425,2006,,
AUT,259425,2007,,
AUT,259425,2008,,
AUT,259425,2009,,
AUT,259425,2010,,
AUT,259425,2011,,
AUT,259425,2012,,
AUT,259425,2013,,
AUT,259425,2014,,
AUT,259425,2015,,
AUT,259425,2016,,
AUT,259425,2017,,
AUT,259425,2018,,
AUT,25998L,1980,,
AUT,25998L,1981,,
AUT,25998L,1982,,
AUT,25998L,1983,,
AUT,25998L,1984,,
AUT,25998L,1985,,
AUT,25998L,1986,,
AUT,25998L,1987,,
AUT,25998L,1988,,
AUT,25998L,1989,,
AUT,25998L,1990,,
AUT,25998L,1991,,
AUT,25998L,1992,,
AUT,25998L,1993,,
AUT,25998L,1994,,
AUT,25998L,1995,,
AUT,25998L,1996,,
AUT,25998L,1997,,
AUT,25998L,1998,,
AUT,25998L,1999,,
